,URL
comic,https://xkcd.com/1886/
comic 3D,
comic mobile,https://m.xkcd.com/1886/
image 1x,https://imgs.xkcd.com/comics/typing_notifications.png
image 2x,https://imgs.xkcd.com/comics/typing_notifications_2x.png
image 3D,
info,https://xkcd.com/1886/info.0.json
info,https://m.xkcd.com/1886/info.0.json
