,URL
comic,https://xkcd.com/1264/
comic 3D,
comic mobile,https://m.xkcd.com/1264/
image 3D,
image 1x,https://imgs.xkcd.com/comics/slideshow.gif
image 2x,
info,https://xkcd.com/1264/info.0.json
info,https://m.xkcd.com/1264/info.0.json
