,URL
comic,https://xkcdko.com/1/
comic,https://web.archive.org/web/20220629014228if_/https://xkcdko.com/1/
comic,https://web.archive.org/web/20220929174523if_/https://xkcdko.com/1/
image 1x,https://assets.xkcdko.com/media/comics/0001-Barrel_-_Part_1-ko-1x.png
image 1x,https://web.archive.org/web/20220629014233if_/https://assets.xkcdko.com/media/comics/0001-Barrel_-_Part_1-ko-1x.png
image 2x,
